"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "XML", "Markdown", "TypeScript JSX", "MS SQL", "PostCSS", "comment", "blank", "total"
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\(dashboard)\siswa\ulangan\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 5
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\api\activity\route.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6, 2, 14
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\api\ai\chat\route.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 10, 2, 16
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\api\ai\depth-score\route.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 9, 2, 15
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\api\ai\handwritten\route.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 10, 2, 16
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\api\auth\logout\route.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 2, 7, 52
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\api\auth\report-error\route.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 11, 11, 62
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\api\auth\signup\route.ts", "TypeScript", 0, 0, 0, 142, 0, 0, 0, 0, 0, 2, 15, 159
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\api\export\route.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 7, 1, 11
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\api\leaderboard\route.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 1, 8
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\api\progress\route.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 5, 2, 13
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\api\quiz\route.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 2, 12
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\api\ulangan\route.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 5, 2, 13
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\api\users\avatar\route.ts", "TypeScript", 0, 0, 0, 90, 0, 0, 0, 0, 0, 9, 21, 120
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\api\users\route.ts", "TypeScript", 0, 0, 0, 103, 0, 0, 0, 0, 0, 4, 15, 122
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\auth\callback\route.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 5, 14, 105
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 240, 20, 24, 284
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"d:\PROJECTS\SELF PROJECT\kombinara\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 2, 8
"d:\PROJECTS\SELF PROJECT\kombinara\src\components\dashboard\DashboardShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 244, 0, 0, 9, 17, 270
"d:\PROJECTS\SELF PROJECT\kombinara\src\components\dashboard\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 426, 0, 0, 6, 27, 459
"d:\PROJECTS\SELF PROJECT\kombinara\src\components\materi\Chatbot.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 587, 0, 0, 29, 28, 644
"d:\PROJECTS\SELF PROJECT\kombinara\src\components\materi\ChatbotShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"d:\PROJECTS\SELF PROJECT\kombinara\src\components\materi\SelectionToolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 137, 0, 0, 6, 18, 161
"d:\PROJECTS\SELF PROJECT\kombinara\src\components\materi\TableContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 514, 0, 0, 20, 33, 567
